CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
0.25,0,0.1,0.05,4.01,0.05,0,0,4.41,4.41,0,5,0,0.03,0,0,0,6,0,3.8,2.1,0.02,1.03,0.49,10,8,0.01,0,0,31380316,23543544,25965308,16379900,876,0,0.524,30.573,4.753,-1,-1,1,0.524,0,0,30,36974,1578,0,4,1,0,1551,0,1274,0.25,0.33,0,default
0.1,0,0.05,0,3.86,0.05,0,0,4.06,4.06,0,3,0,0.02,0,0,0,5.67,0,5,1.6,0.01,7.75,4.03,19,13,0.06,0,0,31380316,23547900,25969680,16379900,912,0,0.538,25.495,3.609,-1,-1,1,0.538,0,0,17,35379,1657,0,4,0,2,1631,0,1274,0.25,0.33,0,default
0.25,0,0.2,0,3.9,0.2,0,0,4.55,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.19,3,3,0,0,0,31380316,23558276,25980060,16379900,920,0,0.67,32.28,6.4,-1,-1,1,0.67,0,0,0,36465,2243,0,4,1,6,2218,1,1275,0.25,0.33,0,default
0.1,0,0.15,0,4.05,0.25,0,0,4.55,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,23556912,25978704,16379900,920,0,0.522,27.013,4.081,-1,-1,1,0.522,0,0,0,36095,1607,0,4,0,1,1636,1,1276,0.25,0.33,0,default
0.1,0,0.2,0,4.06,0.1,0,0,4.46,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.25,4,4,0,0,0,31380316,23558692,25980488,16379900,924,0,0.516,27.805,3.632,-1,-1,1,0.516,0,0,0,35737,1330,0,4,3,1,1280,0,1274,0.23,0.32,0,default
0.05,0,0.15,0,3.95,0.15,0,0,4.3,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,23563928,25985740,16379900,924,0,0.51,27.935,4.689,-1,-1,1,0.51,0,0,0,34755,1671,0,4,1,1,1626,0,1274,0.23,0.32,0,default
0.75,0,0.25,0,3.95,0.05,0,0,5,5,0,27,0,0.3,0,0,0,11.26,0,1.37,3,0.03,1.17,0.62,10,10,0.01,0,0,31380316,23562600,25984412,16379900,928,0,0.813,40.389,7.26,-1,-1,1,0.813,0,0,304,37084,3804,0,5,1,6,3799,0,1274,0.23,0.32,0,default
0.1,0,0.05,0,3.91,0.25,0,0,4.31,4.3,0,0,0,0,0,0,0,0,0,0,0,0,5.06,1.44,13,12,0.04,0,0,31380316,23538352,25960188,16379900,936,0,0.552,24.677,3.951,-1,-1,1,0.552,0,0,0,36071,1841,0,4,1,0,1831,0,1274,0.23,0.32,0,default
0.15,0,0.2,0,3.91,0.1,0,0,4.36,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.32,6,5,0,0,0,31380316,23542320,25964160,16379900,972,0,0.495,28.884,3.815,-1,-1,1,0.495,0,0,0,36393,1365,0,4,0,0,1300,0,1274,0.21,0.32,0,default
0.1,0,0.15,0,3.87,0.05,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.12,2,2,0,0,0,31380316,23543928,25965780,16379900,972,0,0.588,32.65,6.277,-1,-1,1,0.588,0,0,0,35312,1750,0,4,0,0,1694,0,1274,0.21,0.32,0,default
0.25,0,0.1,0.05,4,0.2,0,0,4.55,4.55,0,31,0,0.96,0,6.06,0,31.74,0,1.16,1,0.03,0.15,0.13,3,2,0,0,0,31380316,23555244,25977104,16379900,980,0,0.536,31.481,5.967,-1,-1,1,0.536,0,0,984,37473,1886,0,4,1,0,1862,0,1274,0.21,0.32,0,default
0.15,0,0.15,0,3.9,0.1,0,0,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,23549400,25971292,16379900,28,0,0.502,24.097,3.194,-1,-1,1,0.502,0,0,0,35647,1344,0,4,0,1,1348,0,1274,0.21,0.32,0,default
0.1,0,0.15,0,4.01,0.15,0,0,4.41,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.32,5,5,0,0,0,31380316,23554204,25976096,16379900,32,0,0.516,24,3.73,-1,-1,1,0.516,0,0,0,36108,1417,0,4,0,0,1357,1,1277,0.2,0.31,0,default
0.05,0,0.2,0,4.05,0.1,0,0,4.4,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,23554936,25976848,16379900,40,0,0.589,26.224,4.82,-1,-1,1,0.589,0,0,0,36113,1672,0,4,2,6,1677,3,1276,0.2,0.31,0,default
0,0,0.2,0,3.86,0.1,0,0,4.16,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.23,5,4,0,0,0,31380316,23555376,25977288,16379900,44,0,0.5,20.498,4.697,-1,-1,1,0.5,0,0,0,34695,1707,0,4,0,0,1674,2,1277,0.2,0.31,0,default
0.1,0,0.05,0,3.86,0.15,0,0,4.16,4.16,0,0,0,0,0,0,0,0,0,0,0,0,5.01,1.77,12,17,0.04,0,0,31380316,23554572,25976484,16379900,48,0,0.537,23.359,4.54,-1,-1,1,0.537,0,0,0,34441,1997,0,4,0,0,1915,0,1274,0.2,0.31,0,default
0.2,0,0.15,0,3.8,0.25,0,0,4.4,4.39,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0.54,9,7,0.03,0,0,31380316,23554500,25976416,16379900,56,0,0.485,21.909,4.118,-1,-1,1,0.485,0,0,0,34830,1441,0,4,0,0,1362,0,1274,0.26,0.33,0,default
0.1,0,0.25,0,3.91,0.05,0,0,4.31,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,23558336,25980252,16379900,56,0,0.652,31.367,5.707,-1,-1,1,0.652,0,0,0,36434,1834,0,4,0,6,1852,0,1277,0.26,0.33,0,default
0.15,0,0.15,0.05,4.06,0.15,0,0,4.51,4.51,0,26,0,0.27,0,0,0,10.77,0,1.38,2.9,0.03,0.57,0.25,4,4,0,0,0,31380316,23553652,25975568,16379900,56,0,0.661,36.684,4.841,-1,-1,1,0.661,0,0,280,36817,2423,0,4,1,0,2386,1,1277,0.26,0.33,0,default
0.3,0,0.15,0,3.86,0.25,0,0,4.56,4.55,0,0,0,0,0,0,0,0,0,0,0,0,4.74,1.14,8,8,0.04,0,0,31380316,23567308,25988636,16379900,316,0,0.831,25.143,4.142,-1,-1,1,0.831,0,0,0,37010,3407,0,4,1,1,3374,1,1274,0.25,0.34,0,default
0.25,0,0.15,0,3.91,0.2,0,0,4.51,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,2,1,0,0,0,31380316,23563256,25984632,16379900,320,0,0.64,22.583,4.698,-1,-1,1,0.64,0,0,0,38079,3997,0,4,0,0,3938,2,1276,0.25,0.34,0,default
0.15,0,0.3,0,4.15,0.1,0,0,4.7,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.26,4,4,0,0,0,31380316,23566040,25987416,16379900,320,0,0.64,33.287,5.347,-1,-1,1,0.64,0,0,0,36053,1904,0,4,1,20,1946,0,1275,0.25,0.34,0,default
0.1,0,0.05,0.05,3.96,0.1,0,0,4.21,4.21,0,10,0,0.05,0,0,0,5.05,0,2.3,2.4,0.02,0.1,0.13,2,2,0,0,0,31380316,23578716,26000080,16379900,336,0,0.513,24.403,4.349,-1,-1,1,0.513,0,0,50,35913,1567,0,4,2,0,1561,1,1275,0.23,0.34,0,default
0.1,0,0.1,0,4.02,0.05,0,0,4.27,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,23578936,26000328,16379900,336,0,0.639,34.095,6.955,-1,-1,1,0.639,0,0,0,36465,1889,0,4,1,6,1844,0,1273,0.23,0.34,0,default
0.3,0,0.15,0.05,4.19,0.1,0,0,4.74,4.74,0,13,0,0.06,0,0,0,5,0,1.85,2.5,0.02,0.1,0.13,2,2,0,0,0,31380316,23576860,25998268,16379900,336,0,0.549,33.727,5.455,-1,-1,1,0.549,0,0,65,36599,1868,0,4,0,0,1821,0,1273,0.23,0.34,0,default
0.05,0,0.15,0,4.05,0.25,0,0,4.5,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.61,8,8,0,0,0,31380316,23575464,25996904,16379900,336,0,0.427,20.45,3.421,-1,-1,1,0.427,0,0,0,35445,1355,0,4,2,0,1343,1,1274,0.23,0.34,0,default
0,0,0.1,0,4.05,0.15,0,0,4.3,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,2,1,0,0,0,31380316,23580300,26001740,16379900,336,0,0.492,25.389,4.276,-1,-1,1,0.492,0,0,0,36501,1411,0,4,1,0,1422,0,1276,0.22,0.33,0,default
0.25,0,0.25,0,4.4,0.1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4.73,1.21,8,9,0.04,0,0,31380316,23581752,26003192,16379900,316,0,0.384,35.864,6.951,-1,-1,1,0.384,0,0,0,37205,2317,0,5,0,8,2360,0,1275,0.22,0.33,0,default
0.1,0,0.1,0,3.96,0.1,0,0,4.26,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.32,6,5,0,0,0,31380316,23574492,25995952,16379900,320,0,0.54,29.292,4.933,-1,-1,1,0.54,0,0,0,35988,1976,0,4,0,0,1954,1,1276,0.22,0.33,0,default
0.25,0,0.2,0,3.89,0.1,0,0,4.44,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.33,4,5,0,0,0,31380316,23575444,25996916,16379900,328,0,0.521,28.857,4.766,-1,-1,1,0.521,0,0,0,35228,1601,0,4,1,0,1574,1,1274,0.22,0.33,0,default
0.05,0,0.05,0,4.15,0.05,0,0,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,4.48,2.89,14,13,0.04,0,0,31380316,23580248,26001716,16379900,332,0,0.486,28.049,4.413,-1,-1,1,0.486,0,0,0,36399,1341,0,4,2,0,1367,1,1276,0.28,0.34,0,default
0.15,0,0.15,0,3.96,0.1,0,0,4.36,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,23581712,26003184,16379900,200,0,0.683,32.492,6.045,-1,-1,1,0.683,0,0,0,35445,1849,0,4,4,6,1807,1,1271,0.28,0.34,0,default
0.2,0,0.1,0.05,3.9,0.1,0,0,4.3,4.3,0,19,0,0.2,0,0,0,10.53,0,1.58,2.3,0.03,0.98,0.17,2,3,0.01,0,0,31380316,23579492,26000964,16379900,200,0,0.585,35.984,5.676,-1,-1,1,0.585,0,0,200,34874,1995,0,4,2,0,1992,1,1276,0.28,0.34,0,default
0.35,0,0.25,0.05,4.05,0.2,0,0,4.85,4.84,0,117,0,1.12,0,6.4,0,9.82,0,0.32,3.7,0.03,0.6,0.31,5,5,0,0,0,31380316,23578192,25999620,16379900,160,0,0.736,34.869,6.399,-1,-1,1,0.736,0,0,1150,35946,2780,0,4,1,0,2742,1,1272,0.28,0.34,0,default
0.2,0,0.25,0,3.9,0.15,0,0,4.5,4.5,0,2,0,0.01,0,33.33,0,6,0,8.5,0.9,0.02,0.71,0.39,6,6,0.01,0,0,31380316,23576948,25998416,16379900,212,0,0.692,32.74,4.993,-1,-1,1,0.692,0,0,12,36405,2059,0,4,0,0,1991,2,1274,0.34,0.35,0,default
0.4,0,0.15,0.05,4.06,0.15,0,0,4.76,4.75,0,31,0,0.35,0,0,0,11.65,0,1.16,2.9,0.03,6.51,1.39,11,12,0.05,0,0,31380316,23576556,25998112,16379900,264,0,0.834,36.494,6.508,-1,-1,1,0.834,0,0,361,36804,3314,0,4,0,6,3306,1,1272,0.34,0.35,0,default
0.25,0,0.1,0,3.91,0.05,0,0,4.31,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.26,3,4,0,0,0,31380316,23575884,25997476,16379900,328,0,0.556,33.777,6.06,-1,-1,1,0.556,0,0,0,37979,1692,0,4,2,0,1692,0,1271,0.34,0.35,0,default
0,0,0.1,0,4.01,0.15,0,0,4.26,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.19,4,3,0,0,0,31380316,23574648,25996236,16379900,376,0,0.521,29.338,4.122,-1,-1,1,0.521,0,0,0,36416,1470,0,4,1,0,1505,1,1274,0.31,0.35,0,default
1.1,0,0.45,0,3.91,0.15,0,0,5.61,5.61,5,39,0.13,0.55,0,2.5,26.4,14.33,0.6,1.13,2.3,0.04,0.65,0.32,4,5,0.01,0,0,31380316,23579908,26001540,16379900,376,0,1.513,32.502,2.832,-1,-1,1,1.513,0,0,559,37554,4617,0,5,0,5,4697,0,1273,0.31,0.35,0,default
0.35,0,0.2,0,4.32,0,0,0,4.87,4.87,0,3,0,0.02,0,0,0,6.33,0,2.67,0.9,0.01,0.1,0.12,2,2,0,0,0,31380316,23555196,25976804,16379900,68,0,0.449,35.112,6.959,-1,-1,1,0.449,0,0,19,37599,2331,0,5,0,6,2299,0,1273,0.31,0.35,0,default
0.25,0,0.2,0,3.96,0.2,0,0,4.61,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,23547956,25969612,16379900,108,0,0.87,25.35,3.845,-1,-1,1,0.87,0,0,0,36137,1792,0,4,0,0,1778,0,1276,0.31,0.35,0,default
0.35,0,0.15,0.05,4.05,0.25,0,0,4.8,4.79,0,5,0,0.02,0,0,0,4,0,1.8,1,0.01,2.66,7.17,26,25,0.06,0,0,31380316,23553540,25975196,16379900,116,0,0.584,35.934,6.361,-1,-1,1,0.584,0,0,20,38450,2296,0,4,3,0,2261,0,1273,0.28,0.34,0,default
0.3,0,0.1,0,4.05,0.1,0,0,4.55,4.55,0,3,0,0.02,0,0,0,5.33,0,8.67,0.9,0.02,0.05,0.06,1,1,0,0,0,31380316,23552360,25974016,16379900,164,0,0.521,25.83,4.29,-1,-1,1,0.521,0,0,16,37570,1879,0,4,0,0,1795,0,1273,0.28,0.34,0,default
0.3,0,0.2,0,4.1,0.05,0,0,4.65,4.65,8,0,0.06,0,0,0,8,0,0.25,0,0.3,0,5.15,1.13,11,8,0.04,0,0,31380316,23552332,25973988,16379900,164,0,0.718,37.42,6.523,-1,-1,1,0.718,0,0,0,37334,2914,0,4,0,6,2848,1,1276,0.28,0.34,0,default
0,0,0.15,0,4.05,0.1,0,0,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.19,4,3,0,0,0,31380316,23548508,25970288,16379900,604,0,0.522,26.763,3.864,-1,-1,1,0.522,0,0,0,35840,1360,0,4,0,0,1348,0,1273,0.28,0.34,0,default
0.1,0,0.15,0,4.05,0.15,0,0,4.45,4.44,0,0,0,0,0,0,0,0,0,0,0,0,7.1,6.73,15,14,0.06,0,0,31380316,23552872,25974656,16379900,604,0,0.535,30.499,3.664,-1,-1,1,0.535,0,0,0,37311,1633,0,4,0,0,1580,0,1276,0.26,0.34,0,default
0.1,0,0.1,0,3.96,0.1,0,0,4.26,4.26,0,1,0,0,0,0,0,4,0,9,0.9,0.01,0.15,0.19,3,3,0,0,0,31380316,23549628,25971432,16379900,636,0,0.576,31.431,5.491,-1,-1,1,0.576,0,0,4,36525,1477,0,4,0,1,1456,0,1273,0.26,0.34,0,default
0.3,0,0.05,0,3.91,0.1,0,0,4.36,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,23548932,25970740,16379900,664,0,0.583,31.736,5.446,-1,-1,1,0.583,0,0,0,35913,2035,0,4,1,0,2016,1,1274,0.26,0.34,0,default
0,0,0.15,0.05,3.91,0.25,0,0,4.31,4.31,0,18,0,0.12,0,0,0,7,0,1.22,2.4,0.02,0.1,0.13,2,2,0,0,0,31380316,23544124,25965936,16379900,668,0,0.544,29.935,3.625,-1,-1,1,0.544,0,0,126,36857,1488,0,4,1,0,1463,1,1273,0.26,0.34,0,default
0.1,0,0.15,0,3.85,0.3,0,0,4.4,4.4,0,0,0,0,0,0,0,0,0,0,0,0,1.21,9.41,14,13,0.08,0,0,31380316,23551048,25972860,16379900,668,0,0.524,31.056,5.14,-1,-1,1,0.524,0,0,0,35589,1897,0,4,0,0,1845,1,1276,0.24,0.33,0,default
0.4,0,0.15,0,3.91,0.05,0,0,4.51,4.51,0,3,0,0.01,0,0,0,4,0,8.67,0.9,0.02,1.26,0.62,11,10,0.01,0,0,31380316,23554560,25976376,16379900,672,0,0.754,35.503,7.183,-1,-1,1,0.754,0,0,12,36532,2826,0,4,2,6,2867,0,1273,0.24,0.33,0,default
0.25,0,0.05,0,3.77,0.1,0,0,4.17,4.16,0,0,0,0,0,0,0,0,0,0,0,0,4.97,1.33,9,11,0.04,0,0,31380316,23548220,25970132,16379900,760,0,0.54,33.31,5.595,-1,-1,1,0.54,0,0,0,37614,2083,0,4,1,0,2074,0,1273,0.24,0.33,0,default
0.45,0,0.2,0,3.94,0.25,0,0,4.84,4.83,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.74,8,12,0.01,0,0,31380316,23548288,25970208,16379900,776,0,0.713,34.85,6,-1,-1,1,0.713,0,0,0,36320,2656,0,4,1,2,2644,1,1275,0.24,0.33,0,default
0.15,0,0.1,0.05,4,0.2,0,0,4.45,4.44,0,3,0,0.2,0,0,0,68.67,0,5,1.6,0.01,0.27,0.13,4,2,0,0,0,31380316,23546212,25968196,16379900,872,0,0.529,19.929,3.692,-1,-1,1,0.529,0,0,206,35319,1540,0,4,0,0,1463,0,1274,0.3,0.34,0,default
0.2,0,0.15,0.05,4.2,0,0,0,4.55,4.55,0,40,0,0.86,0,9.09,0,22,0,0.93,1,0.03,0.15,0.19,3,3,0,0,0,31380316,23550408,25972408,16379900,880,0,0.668,33.13,6.625,-1,-1,1,0.668,0,0,880,37162,1981,0,4,0,6,1976,1,1275,0.3,0.34,0,default
0.05,0,0.1,0,3.91,0.05,0,0,4.11,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,23545424,25967424,16379900,4,0,0.428,13.128,3.346,-1,-1,1,0.428,0,0,0,33574,1356,0,4,2,0,1328,4,1281,0.3,0.34,0,default
0.15,0,0.1,0.05,4,0.1,0,0,4.35,4.34,0,35,0,0.3,0,0,0,8.69,0,4.14,1.5,0.13,0.3,0.6,6,7,0,0,0,31380316,23547164,25969164,16379900,16,0,0.478,20.643,4.998,-1,-1,1,0.478,0,0,304,34611,1526,0,4,0,0,1461,0,1274,0.3,0.34,0,default
0.05,0,0.2,0.05,3.95,0.3,0,0,4.5,4.5,0,12,0,0.17,0,0,0,14.5,0,2.25,2.9,0.02,0.36,0.39,2,4,0,0,0,31380316,23549424,25971424,16379900,800,0,0.494,25.713,4.51,-1,-1,1,0.494,0,0,174,36966,1579,0,4,2,0,1565,0,1274,0.28,0.34,0,default
1.1,0,0.25,0.05,4.01,0.15,0,0,5.51,5.5,0,3,0,0.02,0,0,0,7,0,5,1.6,0.01,0.2,0.47,4,5,0,0,0,31380316,23549592,25971596,16379900,804,0,0.972,31.986,5.515,-1,-1,1,0.972,0,0,21,37159,2946,0,5,0,7,2927,0,1274,0.28,0.34,0,default
0.1,0,0.15,0,4.1,0.15,0,0,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0.65,6,6,0.04,0,0,31380316,23539284,25961044,16379900,868,0,0.541,31.152,4.41,-1,-1,1,0.541,0,0,0,37208,1774,0,4,0,0,1763,0,1277,0.28,0.34,0,default
0.25,0,0.1,0.05,4.01,0.05,0,0,4.41,4.41,0,5,0,0.03,0,0,0,6,0,3.8,2.1,0.02,1.03,0.49,10,8,0.01,0,0,31380316,23543544,25965308,16379900,876,0,0.524,30.573,4.753,-1,-1,1,0.524,0,0,30,36974,1578,0,4,1,0,1551,0,1274,0.25,0.33,0,default
0.1,0,0.05,0,3.86,0.05,0,0,4.06,4.06,0,3,0,0.02,0,0,0,5.67,0,5,1.6,0.01,7.75,4.03,19,13,0.06,0,0,31380316,23547900,25969680,16379900,912,0,0.538,25.495,3.609,-1,-1,1,0.538,0,0,17,35379,1657,0,4,0,2,1631,0,1274,0.25,0.33,0,default
0.25,0,0.2,0,3.9,0.2,0,0,4.55,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.19,3,3,0,0,0,31380316,23558276,25980060,16379900,920,0,0.67,32.28,6.4,-1,-1,1,0.67,0,0,0,36465,2243,0,4,1,6,2218,1,1275,0.25,0.33,0,default
0.1,0,0.15,0,4.05,0.25,0,0,4.55,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,23556912,25978704,16379900,920,0,0.522,27.013,4.081,-1,-1,1,0.522,0,0,0,36095,1607,0,4,0,1,1636,1,1276,0.25,0.33,0,default
0.1,0,0.2,0,4.06,0.1,0,0,4.46,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.25,4,4,0,0,0,31380316,23558692,25980488,16379900,924,0,0.516,27.805,3.632,-1,-1,1,0.516,0,0,0,35737,1330,0,4,3,1,1280,0,1274,0.23,0.32,0,default
0.05,0,0.15,0,3.95,0.15,0,0,4.3,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,23563928,25985740,16379900,924,0,0.51,27.935,4.689,-1,-1,1,0.51,0,0,0,34755,1671,0,4,1,1,1626,0,1274,0.23,0.32,0,default
0.75,0,0.25,0,3.95,0.05,0,0,5,5,0,27,0,0.3,0,0,0,11.26,0,1.37,3,0.03,1.17,0.62,10,10,0.01,0,0,31380316,23562600,25984412,16379900,928,0,0.813,40.389,7.26,-1,-1,1,0.813,0,0,304,37084,3804,0,5,1,6,3799,0,1274,0.23,0.32,0,default
0.1,0,0.05,0,3.91,0.25,0,0,4.31,4.3,0,0,0,0,0,0,0,0,0,0,0,0,5.06,1.44,13,12,0.04,0,0,31380316,23538352,25960188,16379900,936,0,0.552,24.677,3.951,-1,-1,1,0.552,0,0,0,36071,1841,0,4,1,0,1831,0,1274,0.23,0.32,0,default
0.15,0,0.2,0,3.91,0.1,0,0,4.36,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.32,6,5,0,0,0,31380316,23542320,25964160,16379900,972,0,0.495,28.884,3.815,-1,-1,1,0.495,0,0,0,36393,1365,0,4,0,0,1300,0,1274,0.21,0.32,0,default
0.1,0,0.15,0,3.87,0.05,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.12,2,2,0,0,0,31380316,23543928,25965780,16379900,972,0,0.588,32.65,6.277,-1,-1,1,0.588,0,0,0,35312,1750,0,4,0,0,1694,0,1274,0.21,0.32,0,default
0.25,0,0.1,0.05,4,0.2,0,0,4.55,4.55,0,31,0,0.96,0,6.06,0,31.74,0,1.16,1,0.03,0.15,0.13,3,2,0,0,0,31380316,23555244,25977104,16379900,980,0,0.536,31.481,5.967,-1,-1,1,0.536,0,0,984,37473,1886,0,4,1,0,1862,0,1274,0.21,0.32,0,default
0.15,0,0.15,0,3.9,0.1,0,0,4.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,23549400,25971292,16379900,28,0,0.502,24.097,3.194,-1,-1,1,0.502,0,0,0,35647,1344,0,4,0,1,1348,0,1274,0.21,0.32,0,default
0.1,0,0.15,0,4.01,0.15,0,0,4.41,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.32,5,5,0,0,0,31380316,23554204,25976096,16379900,32,0,0.516,24,3.73,-1,-1,1,0.516,0,0,0,36108,1417,0,4,0,0,1357,1,1277,0.2,0.31,0,default
0.05,0,0.2,0,4.05,0.1,0,0,4.4,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,23554936,25976848,16379900,40,0,0.589,26.224,4.82,-1,-1,1,0.589,0,0,0,36113,1672,0,4,2,6,1677,3,1276,0.2,0.31,0,default
0,0,0.2,0,3.86,0.1,0,0,4.16,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.23,5,4,0,0,0,31380316,23555376,25977288,16379900,44,0,0.5,20.498,4.697,-1,-1,1,0.5,0,0,0,34695,1707,0,4,0,0,1674,2,1277,0.2,0.31,0,default
0.1,0,0.05,0,3.86,0.15,0,0,4.16,4.16,0,0,0,0,0,0,0,0,0,0,0,0,5.01,1.77,12,17,0.04,0,0,31380316,23554572,25976484,16379900,48,0,0.537,23.359,4.54,-1,-1,1,0.537,0,0,0,34441,1997,0,4,0,0,1915,0,1274,0.2,0.31,0,default
0.2,0,0.15,0,3.8,0.25,0,0,4.4,4.39,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0.54,9,7,0.03,0,0,31380316,23554500,25976416,16379900,56,0,0.485,21.909,4.118,-1,-1,1,0.485,0,0,0,34830,1441,0,4,0,0,1362,0,1274,0.26,0.33,0,default
0.1,0,0.25,0,3.91,0.05,0,0,4.31,4.31,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,23558336,25980252,16379900,56,0,0.652,31.367,5.707,-1,-1,1,0.652,0,0,0,36434,1834,0,4,0,6,1852,0,1277,0.26,0.33,0,default
0.15,0,0.15,0.05,4.06,0.15,0,0,4.51,4.51,0,26,0,0.27,0,0,0,10.77,0,1.38,2.9,0.03,0.57,0.25,4,4,0,0,0,31380316,23553652,25975568,16379900,56,0,0.661,36.684,4.841,-1,-1,1,0.661,0,0,280,36817,2423,0,4,1,0,2386,1,1277,0.26,0.33,0,default
