CPU.STAT.usr ,CPU.STAT.nice ,CPU.STAT.sys ,CPU.STAT.iowait ,CPU.STAT.irq ,CPU.STAT.soft ,CPU.STAT.steal ,CPU.STAT.guest ,CPU.STAT.util ,CPU.STAT.cutil ,STORAGE.STAT.rs ,STORAGE.STAT.ws ,STORAGE.STAT.rMBs ,STORAGE.STAT.wMBs ,STORAGE.STAT.rrqm ,STORAGE.STAT.wrqm ,STORAGE.STAT.rareq-sz ,STORAGE.STAT.wareq-sz ,STORAGE.STAT.r_await ,STORAGE.STAT.w_await ,STORAGE.STAT.util ,STORAGE.STAT.aqu-sz ,NET.STAT.rxkBs ,NET.STAT.txkBs ,NET.STAT.rxpcks ,NET.STAT.txpcks ,NET.STAT.ifutil ,NET.ESTAT.errs ,NET.ESTAT.util ,MEM.MEMINFO.MemTotal ,MEM.MEMINFO.MemFree ,MEM.MEMINFO.MemAvailable ,MEM.MEMINFO.SwapTotal ,MEM.MEMINFO.Dirty ,MEM.BANDWIDTH.Total_Util ,PERF.STAT.IPC ,PERF.STAT.CACHE-MISS-RATIO ,PERF.STAT.MPKI ,PERF.STAT.ITLB-LOAD-MISS-RATIO ,PERF.STAT.DTLB-LOAD-MISS-RATIO ,PERF.STAT.SBPI ,PERF.STAT.SBPC ,MEM.VMSTAT.procs.b ,MEM.VMSTAT.memory.swpd ,MEM.VMSTAT.io.bo ,MEM.VMSTAT.system.in ,MEM.VMSTAT.system.cs ,MEM.VMSTAT.util.swap ,MEM.VMSTAT.util.cpu ,MEM.VMSTAT.procs.r ,SYS.TASKS.procs ,SYS.TASKS.cswchs ,SYS.LDAVG.runq-sz ,SYS.LDAVG.plist-sz ,SYS.LDAVG.ldavg-1 ,SYS.LDAVG.ldavg-5 ,SYS.FDUTIL.fd-util ,workload.appname
       69.8  ,          0   ,        0.2  ,           0    ,        0.95 ,         0.05 ,             0 ,             0 ,        71    ,         70.95 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0.1 ,               0    ,          0.32 ,          0.34 ,              6 ,              5 ,           0    ,             0 ,             0 ,            31380316 ,           22415968 ,                24875988 ,             16379900 ,              164 ,                       0 ,        0.883 ,                    33.604 ,         0.09  ,-1                             ,-1                             ,             1 ,         0.883 ,                 0 ,                     0 ,             176 ,               39660 ,                4016 ,                   0 ,                 71 ,                14 ,              8 ,            4014 ,               14 ,              1418 ,             6.89 ,             4.34 ,                 0 ,cpustress
       69.72 ,          0   ,        0.1  ,           0    ,        0.8  ,         0    ,             0 ,             0 ,        70.62 ,         70.6  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          4.83 ,          0.77 ,             10 ,              8 ,           0.04 ,             0 ,             0 ,            31380316 ,           22423804 ,                24883828 ,             16379900 ,                8 ,                       0 ,        0.88  ,                    22.833 ,         0.032 ,-1                             ,-1                             ,             1 ,         0.88  ,                 0 ,                     0 ,               0 ,               39351 ,                3076 ,                   0 ,                 71 ,                16 ,              0 ,            2996 ,               15 ,              1419 ,             6.89 ,             4.34 ,                 0 ,cpustress
       70.59 ,          0   ,        0.1  ,           0.05 ,        0.8  ,         0    ,             0 ,             0 ,        71.49 ,         71.35 ,              0 ,             37 ,             0    ,             0.36 ,                0 ,             0    ,                    0 ,                10.09 ,                 0   ,                1    ,              3.1 ,               0.03 ,         17.77 ,          2.89 ,             22 ,             21 ,           0.15 ,             0 ,             0 ,            31380316 ,           22424868 ,                24884916 ,             16379900 ,               32 ,                       0 ,        0.883 ,                    30.184 ,         0.109 ,-1                             ,-1                             ,             1 ,         0.883 ,                 0 ,                     0 ,             374 ,               39393 ,                5412 ,                   0 ,                 71 ,                14 ,              0 ,            5307 ,               14 ,              1421 ,             6.89 ,             4.34 ,                 0 ,cpustress
       69.52 ,          0   ,        0.15 ,           0    ,        0.85 ,         0.1  ,             0 ,             0 ,        70.62 ,         70.6  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.05 ,          0.13 ,              1 ,              2 ,           0    ,             0 ,             0 ,            31380316 ,           22424168 ,                24884312 ,             16379900 ,              148 ,                       0 ,        0.88  ,                    21.27  ,         0.038 ,-1                             ,-1                             ,             1 ,         0.88  ,                 0 ,                     0 ,               0 ,               40031 ,                3243 ,                   0 ,                 71 ,                14 ,              0 ,            3244 ,               14 ,              1421 ,             6.89 ,             4.34 ,                 0 ,cpustress
       69.82 ,          0   ,        0.1  ,           0    ,        0.7  ,         0    ,             0 ,             0 ,        70.62 ,         70.65 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          4.51 ,          7.53 ,             16 ,             16 ,           0.06 ,             0 ,             0 ,            31380316 ,           22425964 ,                24886116 ,             16379900 ,              160 ,                       0 ,        0.881 ,                    27.304 ,         0.043 ,-1                             ,-1                             ,             1 ,         0.881 ,                 0 ,                     0 ,               0 ,               39676 ,                3478 ,                   0 ,                 71 ,                15 ,              0 ,            3386 ,               14 ,              1418 ,             7.54 ,             4.52 ,                 0 ,cpustress
       69.86 ,          0   ,        0.05 ,           0    ,        0.65 ,         0.05 ,             0 ,             0 ,        70.61 ,         70.5  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.05 ,          0.06 ,              1 ,              1 ,           0    ,             0 ,             0 ,            31380316 ,           22426712 ,                24886864 ,             16379900 ,                0 ,                       0 ,        0.876 ,                    21.245 ,         0.027 ,-1                             ,-1                             ,             1 ,         0.876 ,                 0 ,                     0 ,               0 ,               39648 ,                3094 ,                   0 ,                 71 ,                14 ,              0 ,            3027 ,               15 ,              1421 ,             7.54 ,             4.52 ,                 0 ,cpustress
       69.6  ,          0   ,        0.2  ,           0    ,        0.65 ,         0.1  ,             0 ,             0 ,        70.55 ,         70.7  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.2  ,          0.26 ,              4 ,              4 ,           0    ,             0 ,             0 ,            31380316 ,           22428256 ,                24888408 ,             16379900 ,                4 ,                       0 ,        0.939 ,                    19.97  ,         0.021 ,-1                             ,-1                             ,             1 ,         0.939 ,                 0 ,                     0 ,               0 ,               39433 ,                3067 ,                   0 ,                 71 ,                15 ,              1 ,            3052 ,               14 ,              1418 ,             7.54 ,             4.52 ,                 0 ,cpustress
       69.95 ,          0   ,        0.1  ,           0    ,        0.7  ,         0    ,             0 ,             0 ,        70.75 ,         70.8  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.36 ,          0.37 ,              4 ,              6 ,           0    ,             0 ,             0 ,            31380316 ,           22432400 ,                24892552 ,             16379900 ,               28 ,                       0 ,        0.974 ,                    36.983 ,         0.073 ,-1                             ,-1                             ,             1 ,         0.974 ,                 0 ,                     0 ,               0 ,               39628 ,                4001 ,                   0 ,                 71 ,                15 ,              6 ,            4003 ,               14 ,              1421 ,             8.06 ,             4.67 ,                 0 ,cpustress
       70.58 ,          0   ,        0.1  ,           0    ,        0.7  ,         0    ,             0 ,             0 ,        71.38 ,         71.31 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          5.9  ,          1.44 ,             12 ,             13 ,           0.05 ,             0 ,             0 ,            31380316 ,           22425672 ,                24885824 ,             16379900 ,               40 ,                       0 ,        0.975 ,                    31.919 ,         0.113 ,-1                             ,-1                             ,             1 ,         0.975 ,                 0 ,                     0 ,               0 ,               39711 ,                4643 ,                   0 ,                 72 ,                14 ,              0 ,            4585 ,               14 ,              1418 ,             8.06 ,             4.67 ,                 0 ,cpustress
       69.78 ,          0   ,        0.1  ,           0    ,        0.8  ,         0    ,             0 ,             0 ,        70.68 ,         74.26 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.51 ,          0.25 ,              4 ,              4 ,           0    ,             0 ,             0 ,            31380316 ,           22425860 ,                24886012 ,             16379900 ,                0 ,                       0 ,        0.974 ,                    21.111 ,         0.023 ,-1                             ,-1                             ,             1 ,         0.974 ,                 0 ,                     0 ,               0 ,               40060 ,                3035 ,                   0 ,                 71 ,                15 ,              1 ,            3019 ,               14 ,              1418 ,             8.06 ,             4.67 ,                 0 ,cpustress
       69.63 ,          0   ,        0.1  ,           0    ,        0.9  ,         0    ,             0 ,             0 ,        70.63 ,         70.6  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.1  ,          0.13 ,              2 ,              2 ,           0    ,             0 ,             0 ,            31380316 ,           22426980 ,                24887132 ,             16379900 ,               44 ,                       0 ,        0.969 ,                    21.329 ,         0.027 ,-1                             ,-1                             ,             1 ,         0.969 ,                 0 ,                     0 ,               0 ,               39349 ,                3278 ,                   0 ,                 71 ,                14 ,              2 ,            3203 ,               17 ,              1423 ,             8.06 ,             4.67 ,                 0 ,cpustress
       69.9  ,          0   ,        0.15 ,           0    ,        0.85 ,         0.05 ,             0 ,             0 ,        70.95 ,         70.9  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          1.37 ,          0.42 ,              9 ,              7 ,           0.01 ,             0 ,             0 ,            31380316 ,           22428480 ,                24888676 ,             16379900 ,               68 ,                       0 ,        0.969 ,                    32.951 ,         0.063 ,-1                             ,-1                             ,             1 ,         0.969 ,                 0 ,                     0 ,               0 ,               39343 ,                3946 ,                   0 ,                 71 ,                14 ,              0 ,            3912 ,               14 ,              1423 ,             8.53 ,             4.83 ,                 0 ,cpustress
       69.83 ,          0   ,        0.1  ,           0    ,        0.9  ,         0.05 ,             0 ,             0 ,        70.88 ,         70.9  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.36 ,          0.39 ,              7 ,              6 ,           0    ,             0 ,             0 ,            31380316 ,           22416288 ,                24876768 ,             16379900 ,              460 ,                       0 ,        0.883 ,                    24.181 ,         0.051 ,-1                             ,-1                             ,             1 ,         0.883 ,                 0 ,                     0 ,               0 ,               39313 ,                3858 ,                   0 ,                 71 ,                14 ,              0 ,            3791 ,               14 ,              1420 ,             8.53 ,             4.83 ,                 0 ,cpustress
       69.82 ,          0   ,        0.1  ,           0.05 ,        0.8  ,         0.05 ,             0 ,             0 ,        70.77 ,         70.7  ,              0 ,              3 ,             0    ,             0.02 ,                0 ,             0    ,                    0 ,                 7.83 ,                 0   ,                5    ,              1.6 ,               0.01 ,          7.8  ,          4.08 ,             19 ,             13 ,           0.06 ,             0 ,             0 ,            31380316 ,           22418516 ,                24879012 ,             16379900 ,               24 ,                       0 ,        0.883 ,                    21.518 ,         0.041 ,-1                             ,-1                             ,             1 ,         0.883 ,                 0 ,                     0 ,              23 ,               39503 ,                3824 ,                   0 ,                 71 ,                15 ,              0 ,            3740 ,               14 ,              1420 ,             8.53 ,             4.83 ,                 0 ,cpustress
       69.91 ,          0   ,        0.1  ,           0    ,        0.75 ,         0    ,             0 ,             0 ,        70.76 ,         70.66 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          1.15 ,          0.29 ,              5 ,              5 ,           0.01 ,             0 ,             0 ,            31380316 ,           22404284 ,                24864796 ,             16379900 ,               52 ,                       0 ,        0.967 ,                    29.545 ,         0.092 ,-1                             ,-1                             ,             1 ,         0.967 ,                 0 ,                     0 ,               0 ,               39666 ,                4884 ,                   0 ,                 71 ,                17 ,              6 ,            4875 ,               14 ,              1423 ,             8.53 ,             4.83 ,                 0 ,cpustress
       69.56 ,          0   ,        0.1  ,           0    ,        0.9  ,         0    ,             0 ,             0 ,        70.56 ,         70.55 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.3  ,          0.38 ,              6 ,              6 ,           0    ,             0 ,             0 ,            31380316 ,           22399720 ,                24860232 ,             16379900 ,              172 ,                       0 ,        0.964 ,                    15.638 ,         0.022 ,-1                             ,-1                             ,             1 ,         0.964 ,                 0 ,                     0 ,               0 ,               40004 ,                3394 ,                   0 ,                 71 ,                14 ,              0 ,            3521 ,               16 ,              1422 ,             9.05 ,             5    ,                 0 ,cpustress
       69.77 ,          0   ,        0.05 ,           0.05 ,        0.85 ,         0    ,             0 ,             0 ,        70.67 ,         70.65 ,              0 ,             20 ,             0    ,             0.19 ,                0 ,             4.76 ,                    0 ,                 9.6  ,                 0   ,                1.75 ,              0.9 ,               0.03 ,          4.95 ,          1    ,             11 ,             11 ,           0.04 ,             0 ,             0 ,            31380316 ,           22397032 ,                24857544 ,             16379900 ,              184 ,                       0 ,        0.971 ,                    14.056 ,         0.023 ,-1                             ,-1                             ,             1 ,         0.971 ,                 0 ,                     0 ,             192 ,               39820 ,                3664 ,                   0 ,                 71 ,                14 ,              0 ,            3659 ,               14 ,              1423 ,             9.05 ,             5    ,                 0 ,cpustress
       69.78 ,          0   ,        0.1  ,           0    ,        0.8  ,         0    ,             0 ,             0 ,        70.68 ,         70.5  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.05 ,          0.06 ,              1 ,              1 ,           0    ,             0 ,             0 ,            31380316 ,           22415636 ,                24876152 ,             16379900 ,                4 ,                       0 ,        1.063 ,                    20.771 ,         0.031 ,-1                             ,-1                             ,             1 ,         1.063 ,                 0 ,                     0 ,               0 ,               39400 ,                3712 ,                   0 ,                 71 ,                14 ,              0 ,            3635 ,               14 ,              1420 ,             9.05 ,             5    ,                 0 ,cpustress
       70.15 ,          0   ,        0.1  ,           0    ,        0.65 ,         0    ,             0 ,             0 ,        70.9  ,         70.8  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.1  ,          0.13 ,              2 ,              2 ,           0    ,             0 ,             0 ,            31380316 ,           22413060 ,                24873588 ,             16379900 ,               36 ,                       0 ,        1.066 ,                    27.573 ,         0.063 ,-1                             ,-1                             ,             1 ,         1.066 ,                 0 ,                     0 ,               0 ,               39334 ,                4687 ,                   0 ,                 71 ,                15 ,              7 ,            4700 ,               14 ,              1420 ,             9.45 ,             5.15 ,                 0 ,cpustress
       70.05 ,          0   ,        0.15 ,           0    ,        0.7  ,         0.05 ,             0 ,             0 ,        70.95 ,         70.85 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          1.02 ,          0.22 ,              4 ,              4 ,           0.01 ,             0 ,             0 ,            31380316 ,           22408232 ,                24868772 ,             16379900 ,               44 ,                       0 ,        0.968 ,                    24.273 ,         0.05  ,-1                             ,-1                             ,             1 ,         0.968 ,                 0 ,                     0 ,               0 ,               39068 ,                4123 ,                   0 ,                 71 ,                15 ,              0 ,            4127 ,               14 ,              1420 ,             9.45 ,             5.15 ,                 0 ,cpustress
       69.81 ,          0   ,        0.2  ,           0.05 ,        0.8  ,         0    ,             0 ,             0 ,        70.81 ,         70.85 ,              0 ,             14 ,             0    ,             0.43 ,                0 ,             6.67 ,                    0 ,                31.71 ,                 0   ,                2.57 ,              1   ,               0.03 ,          0.1  ,          0.13 ,              2 ,              2 ,           0    ,             0 ,             0 ,            31380316 ,           22411908 ,                24872532 ,             16379900 ,              428 ,                       0 ,        0.92  ,                    24.779 ,         0.045 ,-1                             ,-1                             ,             1 ,         0.92  ,                 0 ,                     0 ,             444 ,               39885 ,                3673 ,                   0 ,                 71 ,                14 ,              0 ,            3654 ,               14 ,              1420 ,             9.45 ,             5.15 ,                 0 ,cpustress
       69.78 ,          0   ,        0.05 ,           0    ,        0.8  ,         0    ,             0 ,             0 ,        70.63 ,         70.55 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.2  ,          0.36 ,              4 ,              6 ,           0    ,             0 ,             0 ,            31380316 ,           22403756 ,                24864404 ,             16379900 ,               80 ,                       0 ,        0.97  ,                    21.82  ,         0.038 ,-1                             ,-1                             ,             1 ,         0.97  ,                 0 ,                     0 ,               0 ,               39324 ,                3639 ,                   0 ,                 71 ,                15 ,              0 ,            3586 ,               14 ,              1421 ,             9.45 ,             5.15 ,                 0 ,cpustress
       69.73 ,          0   ,        0.1  ,           0    ,        0.8  ,         0    ,             0 ,             0 ,        70.63 ,         70.74 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.15 ,          0.19 ,              3 ,              3 ,           0    ,             0 ,             0 ,            31380316 ,           22400564 ,                24861212 ,             16379900 ,               36 ,                       0 ,        0.971 ,                    18.497 ,         0.027 ,-1                             ,-1                             ,             1 ,         0.971 ,                 0 ,                     0 ,               0 ,               40018 ,                3680 ,                   0 ,                 71 ,                14 ,              0 ,            3607 ,               16 ,              1421 ,             9.89 ,             5.31 ,                 0 ,cpustress
       69.59 ,          0   ,        0.15 ,           0    ,        0.9  ,         0.1  ,             0 ,             0 ,        70.74 ,         70.89 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          4.99 ,          1.4  ,             13 ,             12 ,           0.04 ,             0 ,             0 ,            31380316 ,           22401304 ,                24861952 ,             16379900 ,               36 ,                       0 ,        0.969 ,                    16.008 ,         0.024 ,-1                             ,-1                             ,             1 ,         0.969 ,                 0 ,                     0 ,               0 ,               39499 ,                3886 ,                   0 ,                 71 ,                14 ,              0 ,            3830 ,               15 ,              1418 ,             9.89 ,             5.31 ,                 0 ,cpustress
       69.66 ,          0   ,        0.1  ,           0.05 ,        0.9  ,         0.05 ,             0 ,             0 ,        70.71 ,         70.75 ,              0 ,              9 ,             0    ,             0.05 ,                0 ,             0    ,                    0 ,                 5.33 ,                 0   ,                3.89 ,              0.9 ,               0.03 ,          0.15 ,          0.19 ,              3 ,              3 ,           0    ,             0 ,             0 ,            31380316 ,           22413552 ,                24874152 ,             16379900 ,               44 ,                       0 ,        0.877 ,                    17.677 ,         0.028 ,-1                             ,-1                             ,             1 ,         0.877 ,                 0 ,                     0 ,              48 ,               39212 ,                3615 ,                   0 ,                 71 ,                14 ,              0 ,            3610 ,               16 ,              1420 ,             9.89 ,             5.31 ,                 0 ,cpustress
       69.89 ,          0   ,        0.3  ,           0    ,        0.8  ,         0    ,             0 ,             0 ,        70.99 ,         71.19 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.69 ,          9.3  ,             11 ,             14 ,           0.08 ,             0 ,             0 ,            31380316 ,           22416672 ,                24877272 ,             16379900 ,                0 ,                       0 ,        0.964 ,                    28.877 ,         0.075 ,-1                             ,-1                             ,             1 ,         0.964 ,                 0 ,                     0 ,               0 ,               39186 ,                4990 ,                   0 ,                 71 ,                15 ,              7 ,            4998 ,               15 ,              1417 ,            10.22 ,             5.46 ,                 0 ,cpustress
       69.77 ,          0   ,        0.15 ,           0    ,        0.75 ,         0    ,             0 ,             0 ,        70.67 ,         70.75 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.22 ,          0.35 ,              3 ,              4 ,           0    ,             0 ,             0 ,            31380316 ,           22408612 ,                24869216 ,             16379900 ,               28 ,                       0 ,        1.057 ,                    15.419 ,         0.017 ,-1                             ,-1                             ,             1 ,         1.057 ,                 0 ,                     0 ,               0 ,               39269 ,                3661 ,                   0 ,                 71 ,                14 ,              0 ,            3650 ,               14 ,              1420 ,            10.22 ,             5.46 ,                 0 ,cpustress
       69.7  ,          0   ,        0.1  ,           0    ,        0.8  ,         0    ,             0 ,             0 ,        70.6  ,         70.56 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.05 ,          0.06 ,              1 ,              1 ,           0    ,             0 ,             0 ,            31380316 ,           22416316 ,                24876920 ,             16379900 ,               28 ,                       0 ,        1.04  ,                    17.278 ,         0.024 ,-1                             ,-1                             ,             1 ,         1.04  ,                 0 ,                     0 ,               0 ,               39897 ,                3713 ,                   0 ,                 71 ,                14 ,              1 ,            3662 ,               14 ,              1417 ,            10.22 ,             5.46 ,                 0 ,cpustress
       69.84 ,          0   ,        0    ,           0    ,        0.7  ,         0    ,             0 ,             0 ,        70.54 ,         70.53 ,              0 ,              7 ,             0    ,             0.03 ,                0 ,             0    ,                    0 ,                 4    ,                 0   ,                5    ,              0.9 ,               0.03 ,          0.26 ,          0.42 ,              5 ,              7 ,           0    ,             0 ,             0 ,            31380316 ,           22415072 ,                24875676 ,             16379900 ,               28 ,                       0 ,        1.035 ,                    16.647 ,         0.021 ,-1                             ,-1                             ,             1 ,         1.035 ,                 0 ,                     0 ,              28 ,               39538 ,                3827 ,                   0 ,                 71 ,                14 ,              0 ,            3812 ,               14 ,              1420 ,            10.22 ,             5.46 ,                 0 ,cpustress
       69.75 ,          0   ,        0.2  ,           0    ,        0.7  ,         0    ,             0 ,             0 ,        70.65 ,         70.8  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.48 ,          0.25 ,              3 ,              4 ,           0    ,             0 ,             0 ,            31380316 ,           22415724 ,                24876328 ,             16379900 ,                4 ,                       0 ,        0.974 ,                    21.089 ,         0.037 ,-1                             ,-1                             ,             1 ,         0.974 ,                 0 ,                     0 ,               0 ,               39068 ,                3980 ,                   0 ,                 71 ,                14 ,              0 ,            3897 ,               17 ,              1420 ,            10.61 ,             5.62 ,                 0 ,cpustress
       69.67 ,          0   ,        0.05 ,           0    ,        0.85 ,         0    ,             0 ,             0 ,        70.57 ,         70.45 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.25 ,          0.39 ,              5 ,              6 ,           0    ,             0 ,             0 ,            31380316 ,           22412552 ,                24873148 ,             16379900 ,               16 ,                       0 ,        0.97  ,                    16.367 ,         0.024 ,-1                             ,-1                             ,             1 ,         0.97  ,                 0 ,                     0 ,               0 ,               39143 ,                3836 ,                   0 ,                 71 ,                14 ,              0 ,            3799 ,               17 ,              1420 ,            10.61 ,             5.62 ,                 0 ,cpustress
       69.72 ,          0   ,        0.05 ,           0    ,        0.9  ,         0    ,             0 ,             0 ,        70.67 ,         70.6  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          4.84 ,          1.27 ,             10 ,             10 ,           0.04 ,             0 ,             0 ,            31380316 ,           22419412 ,                24880012 ,             16379900 ,               24 ,                       0 ,        0.971 ,                    16.14  ,         0.024 ,-1                             ,-1                             ,             1 ,         0.971 ,                 0 ,                     0 ,               0 ,               40599 ,                4088 ,                   0 ,                 71 ,                14 ,              0 ,            4073 ,               15 ,              1420 ,            10.61 ,             5.62 ,                 0 ,cpustress
       70.01 ,          0   ,        0.3  ,           0.05 ,        0.6  ,         0    ,             0 ,             0 ,        70.91 ,         74.67 ,              0 ,             22 ,             0    ,             0.81 ,                0 ,             0    ,                    0 ,                37.82 ,                 0   ,                1.64 ,              1   ,               0.03 ,          0.11 ,          2.47 ,              2 ,              6 ,           0.02 ,             0 ,             0 ,            31380316 ,           22418004 ,                24878604 ,             16379900 ,               28 ,                       0 ,        0.938 ,                    29.965 ,         0.08  ,-1                             ,-1                             ,             1 ,         0.938 ,                 0 ,                     0 ,             832 ,               39777 ,                5184 ,                   0 ,                 71 ,                14 ,              6 ,            5169 ,               14 ,              1417 ,            10.88 ,             5.76 ,                 0 ,cpustress
       69.7  ,          0   ,        0.05 ,           0    ,        0.75 ,         0.05 ,             0 ,             0 ,        70.55 ,         70.6  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          4.07 ,          0.69 ,              8 ,              7 ,           0.03 ,             0 ,             0 ,            31380316 ,           22415316 ,                24875916 ,             16379900 ,               16 ,                       0 ,        0.96  ,                    22.956 ,         0.034 ,-1                             ,-1                             ,             1 ,         0.96  ,                 0 ,                     0 ,               0 ,               40287 ,                4119 ,                   0 ,                 71 ,                14 ,              0 ,            4118 ,               14 ,              1420 ,            10.88 ,             5.76 ,                 0 ,cpustress
       69.9  ,          0   ,        0.05 ,           0    ,        0.75 ,         0    ,             0 ,             0 ,        70.7  ,         74.21 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.15 ,          0.4  ,              3 ,              4 ,           0    ,             0 ,             0 ,            31380316 ,           22417120 ,                24877720 ,             16379900 ,               16 ,                       0 ,        0.959 ,                    15.822 ,         0.024 ,-1                             ,-1                             ,             1 ,         0.959 ,                 0 ,                     0 ,               0 ,               39314 ,                3976 ,                   0 ,                 71 ,                14 ,              2 ,            3960 ,               14 ,              1417 ,            10.88 ,             5.76 ,                 0 ,cpustress
       69.74 ,          0   ,        0.1  ,           0    ,        0.7  ,         0.05 ,             0 ,             0 ,        70.59 ,         78.28 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.1  ,          0.13 ,              2 ,              2 ,           0    ,             0 ,             0 ,            31380316 ,           22420244 ,                24880844 ,             16379900 ,               16 ,                       0 ,        0.977 ,                    16.213 ,         0.022 ,-1                             ,-1                             ,             1 ,         0.977 ,                 0 ,                     0 ,               0 ,               39699 ,                4002 ,                   0 ,                 71 ,                15 ,              0 ,            3946 ,               15 ,              1420 ,            10.88 ,             5.76 ,                 0 ,cpustress
       69.92 ,          0   ,        0.15 ,           0    ,        0.75 ,         0    ,             0 ,             0 ,        70.82 ,         70.7  ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.1  ,          0.13 ,              2 ,              2 ,           0    ,             0 ,             0 ,            31380316 ,           22418404 ,                24879004 ,             16379900 ,               16 ,                       0 ,        0.973 ,                    26.031 ,         0.051 ,-1                             ,-1                             ,             1 ,         0.973 ,                 0 ,                     0 ,               0 ,               39596 ,                4701 ,                   0 ,                 71 ,                15 ,              6 ,            4693 ,               14 ,              1417 ,            11.13 ,             5.89 ,                 0 ,cpustress
       69.82 ,          0   ,        0    ,           0    ,        0.75 ,         0    ,             0 ,             0 ,        70.57 ,         70.45 ,              0 ,              0 ,             0    ,             0    ,                0 ,             0    ,                    0 ,                 0    ,                 0   ,                0    ,              0   ,               0    ,          0.1  ,          0.13 ,              2 ,              2 ,           0    ,             0 ,             0 ,            31380316 ,           22416296 ,                24876896 ,             16379900 ,               20 ,                       0 ,        0.973 ,                    13.385 ,         0.019 ,-1                             ,-1                             ,             1 ,         0.973 ,                 0 ,                     0 ,               0 ,               39490 ,                3530 ,                   0 ,                 71 ,                15 ,              0 ,            3451 ,               14 ,              1417 ,            11.13 ,             5.89 ,                 0 ,cpustress
